Results for n = 50:
  Run          n    W  Result                                                                                                                                Time (s)

--------------------------------------------------------------------------------

Results for n = 100:
  Run           n    W  Result                                                                                                                                                                                                                                            Time (s)
-----  ----------  ---  ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  ----------
    1  100.000000  631  (75, 40349, [2, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 3, 1, 1, 1, 1, 1, 2, 1, 3, 1, 1, 1, 2, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 2, 1, 3, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 4, 1, 1, 2, 1, 1, 1, 2])    0.121953
    2  100.000000  630  (66, 34228, [2, 2, 1, 1, 2, 1, 1, 2, 1, 1, 4, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 2, 1, 2, 1, 2, 1, 1, 1, 1, 1, 3, 2, 1, 1, 3, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 4, 2, 1, 1, 1, 6, 1, 1, 1, 1, 1, 1, 1, 2, 1, 4])                               0.132085
    3  100.000000  804  (73, 35885, [1, 1, 1, 2, 1, 1, 1, 1, 1, 3, 1, 2, 1, 1, 4, 1, 4, 1, 1, 1, 2, 3, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 2, 1, 1, 2, 2, 1, 3, 1, 1, 1, 1, 1, 1, 2, 3])          0.165903
    4  100.000000  540  (58, 36105, [1, 3, 1, 3, 3, 1, 4, 1, 2, 3, 1, 1, 1, 1, 2, 2, 1, 2, 2, 2, 1, 5, 1, 2, 1, 1, 3, 3, 2, 3, 3, 1, 1, 1, 1, 4, 1, 2, 1, 1, 1, 3, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 3, 1])                                                       0.117130
    5  100.000000  557  (68, 40808, [1, 3, 1, 1, 1, 1, 2, 2, 2, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 2, 1, 2, 1, 2, 4, 1, 1, 3, 1, 2, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 3, 1, 2, 1, 2, 3, 1, 2, 1, 1, 2, 1, 1, 1, 4, 1])                         0.110188
    6  100.000000  887  (72, 34902, [2, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 3, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 2, 1, 1, 2, 2, 1, 1, 2, 1, 1, 1, 2, 1, 2, 1, 1, 4, 1, 2, 1, 3, 1, 1, 1, 1, 1, 1, 3, 2, 3, 1, 1, 1, 1, 1, 2, 1, 2, 1])             0.192648
