Results for n = 2:
  Run         n    W  Result               Time (s)
   17  8.000000  993  (4, 2128, [3, 1, 3, 1])                0.000070
   18  8.000000  923  (5, 2157, [2, 1, 1, 3, 1])             0.000035
   19  8.000000  882  (6, 3194, [1, 1, 1, 1, 2, 2])          0.000022
   20  8.000000  801  (7, 2392, [1, 1, 1, 1, 1, 2, 1])       0.000017
   21  8.000000  873  (7, 4090, [2, 1, 1, 1, 1, 1, 1])       0.000018
   22  8.000000  719  (5, 2954, [2, 2, 1, 1, 2])             0.000034
   23  8.000000  742  (3, 2621, [4, 2, 2])                   0.000094
   24  8.000000  982  (5, 3703, [2, 1, 2, 1, 2])             0.000031
   25  8.000000  619  (2, 1651, [2, 6])                      0.000127

--------------------------------------------------------------------------------

Results for n = 10:
  Run          n    W  Result                                    Time (s)
-----  ---------  ---  --------------------------------------  ----------
    1  10.000000  517  (7, 4365, [1, 1, 1, 2, 1, 2, 2])          0.000034
    2  10.000000  657  (7, 4831, [3, 1, 2, 1, 1, 1, 1])          0.000085
    3  10.000000  527  (7, 2989, [1, 2, 2, 1, 1, 1, 2])          0.000070
    4  10.000000  652  (7, 3929, [1, 2, 1, 1, 1, 3, 1])          0.000048
    5  10.000000  745  (4, 2954, [1, 2, 1, 6])                   0.000227
    6  10.000000  641  (8, 5255, [2, 1, 1, 1, 1, 1, 1, 2])       0.000023
    7  10.000000  624  (8, 4559, [1, 1, 1, 1, 2, 2, 1, 1])       0.000029
    8  10.000000  892  (6, 2722, [2, 1, 2, 1, 3, 1])             0.000085
    9  10.000000  941  (7, 4337, [2, 1, 1, 1, 2, 1, 2])          0.000037
   10  10.000000  695  (7, 3980, [2, 1, 2, 1, 1, 2, 1])          0.000064
   11  10.000000  524  (7, 4254, [2, 1, 2, 1, 1, 2, 1])          0.000055
   12  10.000000  827  (8, 4412, [1, 1, 1, 2, 1, 2, 1, 1])       0.000028
   13  10.000000  746  (7, 2089, [1, 1, 1, 1, 1, 4, 1])          0.000042
   14  10.000000  801  (7, 3998, [2, 1, 2, 1, 2, 1, 1])          0.000231
   15  10.000000  762  (6, 3702, [1, 1, 2, 3, 2, 1])             0.000132
   16  10.000000  964  (8, 4770, [1, 1, 1, 1, 1, 1, 1, 3])       0.000021
   17  10.000000  950  (9, 5130, [1, 1, 1, 1, 1, 1, 1, 1, 2])    0.000019
   18  10.000000  799  (7, 4449, [1, 1, 2, 1, 2, 1, 2])          0.000047
   19  10.000000  721  (8, 4352, [2, 1, 1, 1, 1, 2, 1, 1])       0.000034
   20  10.000000  730  (9, 2407, [2, 1, 1, 1, 1, 1, 1, 1, 1])    0.000021
